SAI03,70489834,63547375,63344000,69893958,57359084,60322584,71291167,60855084,59205833,57066791,58630333,73136375,82744375,61268875,54052750,75424334,57050250,66400167,70766375,76987458
SAI04
SAI05,61748041,56250750,58902958,59177000,54259416,52793041,51691958,52616084,52534792,56976375,61140083,55881208,74568217,54215333,59035542,64574750,62999708,68552958,53102292,86804959
SAI06,74238333,61681292,65432167,74545584,63575541,53874958,65278959,54743750,65962917,51646708,64265250,58856083,79386085,59504417,64865958,61529583,69628375,57634417,73741917,59289000,65926125
SAI07,57314792,58619806,57356167,54904208,59310917,55508250,54511792,55173833,57480542,66854875,63539083,58834333,79212625,65578209,87993625,78257000,53873041,77065041,60025292,85969209
SAI08,64133333,88340625,60808333,62927625,57628292,73710375,58857042,56869125,66192917,74428171,62221250,60626000,81237709,62276166,58499875,74229375,56094000,76277417,56320209,75206541
SAI09,88787583,57424250,83936791,61012458,61056375,82429959,57944250,55664625,57753458,58999833,65035750,64072750,73304541,64924791,64320375,73907959,59536833,72747625,62273125,77657917
SAI10,76227375,68985792,69312541,64734083,75081666,66282500,60867250,58185208,59636750,58217250,65669250,62704041,70620167
SAI11,61228708,56646041,65307000,63736166,56891625,58390958,55926000,78383375,60875708,63353500,63361666,62079703,98146417,56864666,62602583,74248291,62445125,65561792,54833917,77631417
SAI12,56118833,54851542,80304625,56057917,55301042,56734000,54900667,56170541,54630500,59874375,65037958,57692958,70752250,58073291,56940625,72211000,56990458,67299208,61631208,71103875
SAI13,61697750,60084791,61980791,58903000,69567125,59180292,64512541,57586209,61397083,58855750,66932958,62423708,76080209,66402416,77658667,74030375,59076500,72707250,59973750,75915833
SAI14
SAI15,64708333,66284500,59352959,56001083,62665041,56561500,56697916,54769875,61803292,60434833,64725792,65083917,88907583,66691208,59249000,69611750,62717584,67133875,63938917,65288833
SAI16,175062167,66727458,61545625,58324750,55289375,57471209,55812291,56341167,54983500,53958875,61271208,62621958,54034292,88544250,85171250,56559500,67517917,66968667,55525173,55591708
SAI17,87289875,85216542,84167792,81359208,69876042,71250625,72823500,65577000,75905458,76165250,77306208,98634958,76335959,78794750,70164208,65000834,69411916,69654875,66361625,73118833
